Seat Name En,Seat Name Mm,Party Name Pretty En,Uec Id (Parties.Csv),% of Total Valid Total Votes
Ayeyarwady Constituency 3,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,31.121496420%
Ayeyarwady Constituency 3,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,People’s Party of Myanmar Farmers and Workers,5f3f9035c749de0ddc9de07b,1.536878457%
Ayeyarwady Constituency 3,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,National Unity Party,5f3f9035c749de0ddc9de02e,1.202452457%
Ayeyarwady Constituency 3,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,National League for Democracy,5f3f9035c749de0ddc9de05b,62.601195047%
Ayeyarwady Constituency 3,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,National Democratic Force,5f3f9035c749de0ddc9de052,1.318605077%
Ayeyarwady Constituency 3,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,2.219372542%
Ayeyarwady Constituency 4,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,36.804927713%
Ayeyarwady Constituency 4,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,National Unity Party,5f3f9035c749de0ddc9de02e,3.052724488%
Ayeyarwady Constituency 4,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,National League for Democracy,5f3f9035c749de0ddc9de05b,60.142347800%
Ayeyarwady Constituency 5,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,35.489935787%
Ayeyarwady Constituency 5,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,National Unity Party,5f3f9035c749de0ddc9de02e,2.604346752%
Ayeyarwady Constituency 5,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,National League for Democracy,5f3f9035c749de0ddc9de05b,58.568782415%
Ayeyarwady Constituency 5,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,National Development Party,5f3f9035c749de0ddc9de08b,1.713694739%
Ayeyarwady Constituency 5,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,1.623240306%
Ayeyarwady Constituency 6,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,41.313296782%
Ayeyarwady Constituency 6,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,National League for Democracy,5f3f9035c749de0ddc9de05b,51.301146702%
Ayeyarwady Constituency 6,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,National Democratic Force,5f3f9035c749de0ddc9de052,0.744721364%
Ayeyarwady Constituency 6,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,2.579323101%
Ayeyarwady Constituency 6,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,Kayin People's Party,5f3f9035c749de0ddc9de035,4.061512050%
Ayeyarwady Constituency 7,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,37.316814876%
Ayeyarwady Constituency 7,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,National Unity Party,5f3f9035c749de0ddc9de02e,6.199482955%
Ayeyarwady Constituency 7,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,National League for Democracy,5f3f9035c749de0ddc9de05b,43.304496114%
Ayeyarwady Constituency 7,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,4.677158119%
Ayeyarwady Constituency 7,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,Kayin People's Party,5f3f9035c749de0ddc9de035,5.349940041%
Ayeyarwady Constituency 7,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,Karen National Party,5f3f9035c749de0ddc9de07a,3.152107894%
Ayeyarwady Constituency 8,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,41.603761091%
Ayeyarwady Constituency 8,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,National Unity Party,5f3f9035c749de0ddc9de02e,2.596675937%
Ayeyarwady Constituency 8,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,National League for Democracy,5f3f9035c749de0ddc9de05b,53.609786783%
Ayeyarwady Constituency 8,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,National Development Party,5f3f9035c749de0ddc9de08b,2.189776189%
Ayeyarwady Constituency 9,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,38.466800101%
Ayeyarwady Constituency 9,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,National League for Democracy,5f3f9035c749de0ddc9de05b,52.850896796%
Ayeyarwady Constituency 9,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,3.849128466%
Ayeyarwady Constituency 9,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,Kayin People's Party,5f3f9035c749de0ddc9de035,4.833174637%
Ayeyarwady Constituency 10,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,35.244596593%
Ayeyarwady Constituency 10,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,National Unity Party,5f3f9035c749de0ddc9de02e,2.125711508%
Ayeyarwady Constituency 10,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,National League for Democracy,5f3f9035c749de0ddc9de05b,57.336277270%
Ayeyarwady Constituency 10,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,National Development Party,5f3f9035c749de0ddc9de08b,1.336925477%
Ayeyarwady Constituency 10,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,3.381206069%
Ayeyarwady Constituency 10,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,Kayin People's Party,5f3f9035c749de0ddc9de035,0.575283084%
Ayeyarwady Constituency 11,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,40.600883913%
Ayeyarwady Constituency 11,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,National Unity Party,5f3f9035c749de0ddc9de02e,3.770906473%
Ayeyarwady Constituency 11,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,National League for Democracy,5f3f9035c749de0ddc9de05b,50.396313142%
Ayeyarwady Constituency 11,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,National Development Party,5f3f9035c749de0ddc9de08b,2.889406314%
Ayeyarwady Constituency 11,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,Kayin People's Party,5f3f9035c749de0ddc9de035,2.342490158%
Ayeyarwady Constituency 12,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,39.788870926%
Ayeyarwady Constituency 12,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,National League for Democracy,5f3f9035c749de0ddc9de05b,52.052937656%
Ayeyarwady Constituency 12,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,National Development Party,5f3f9035c749de0ddc9de08b,2.397601076%
Ayeyarwady Constituency 12,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,3.621197544%
Ayeyarwady Constituency 12,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,Kayin People's Party,5f3f9035c749de0ddc9de035,2.139392797%
Bago Constituency 1,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,24.775757050%
Bago Constituency 1,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,Union Democratic Party,5f3f9035c749de0ddc9de044,0.408817983%
Bago Constituency 1,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,National Unity Party,5f3f9035c749de0ddc9de02e,1.254633343%
Bago Constituency 1,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,National League for Democracy,5f3f9035c749de0ddc9de05b,69.693278131%
Bago Constituency 1,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,National Development Party,5f3f9035c749de0ddc9de08b,1.931805866%
Bago Constituency 1,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,0.955931763%
Bago Constituency 1,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,Confederate Farmers Party,5f3f9035c749de0ddc9de088,0.979775865%
Bago Constituency 2,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,29.790705027%
Bago Constituency 2,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,Union Democratic Party,5f3f9035c749de0ddc9de044,0.901043313%
Bago Constituency 2,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,National Unity Party,5f3f9035c749de0ddc9de02e,2.763199494%
Bago Constituency 2,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,National League for Democracy,5f3f9035c749de0ddc9de05b,61.169775530%
Bago Constituency 2,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,National Development Party,5f3f9035c749de0ddc9de08b,3.397407525%
Bago Constituency 2,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,1.977869112%
Bago Constituency 3,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,27.092345222%
Bago Constituency 3,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,National Unity Party,5f3f9035c749de0ddc9de02e,2.579100579%
Bago Constituency 3,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,National League for Democracy,5f3f9035c749de0ddc9de05b,61.489874944%
Bago Constituency 3,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,National Development Party,5f3f9035c749de0ddc9de08b,2.175095900%
Bago Constituency 3,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,National Democratic Force,5f3f9035c749de0ddc9de052,1.946568001%
Bago Constituency 3,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,4.717015353%
Bago Constituency 4,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,27.836456884%
Bago Constituency 4,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,National Unity Party,5f3f9035c749de0ddc9de02e,4.730605708%
Bago Constituency 4,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,National League for Democracy,5f3f9035c749de0ddc9de05b,61.272902328%
Bago Constituency 4,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,National Development Party,5f3f9035c749de0ddc9de08b,2.628167242%
Bago Constituency 4,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,3.531867839%
Bago Constituency 5,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,35.437231942%
Bago Constituency 5,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,People’s Party of Myanmar Farmers and Workers,5f3f9035c749de0ddc9de07b,1.116056233%
Bago Constituency 5,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,National Unity Party,5f3f9035c749de0ddc9de02e,4.826741099%
Bago Constituency 5,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,National League for Democracy,5f3f9035c749de0ddc9de05b,52.876301995%
Bago Constituency 5,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,National Development Party,5f3f9035c749de0ddc9de08b,3.143083260%
Bago Constituency 5,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,2.600585472%
Bago Constituency 6,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,35.435035052%
Bago Constituency 6,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,National Unity Party,5f3f9035c749de0ddc9de02e,3.531747738%
Bago Constituency 6,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,National League for Democracy,5f3f9035c749de0ddc9de05b,55.824122260%
Bago Constituency 6,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,National Development Party,5f3f9035c749de0ddc9de08b,2.446489757%
Bago Constituency 6,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,1.736126045%
Bago Constituency 6,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,Democracy and Peace Party,5f3f9035c749de0ddc9de03a,1.026479148%
Bago Constituency 7,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,35.165018495%
Bago Constituency 7,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,National Unity Party,5f3f9035c749de0ddc9de02e,7.390021228%
Bago Constituency 7,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,National League for Democracy,5f3f9035c749de0ddc9de05b,50.265490798%
Bago Constituency 7,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,3.758866472%
Bago Constituency 7,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,Kayin People's Party,5f3f9035c749de0ddc9de035,3.420603006%
Bago Constituency 8,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,33.179227031%
Bago Constituency 8,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,National Unity Party,5f3f9035c749de0ddc9de02e,2.493739768%
Bago Constituency 8,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,National League for Democracy,5f3f9035c749de0ddc9de05b,61.683500812%
Bago Constituency 8,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,National Development Party,5f3f9035c749de0ddc9de08b,2.643532388%
Bago Constituency 9,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,26.621863589%
Bago Constituency 9,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,National Unity Party,5f3f9035c749de0ddc9de02e,2.414127435%
Bago Constituency 9,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,National League for Democracy,5f3f9035c749de0ddc9de05b,68.218354406%
Bago Constituency 9,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,National Development Party,5f3f9035c749de0ddc9de08b,2.745654571%
Bago Constituency 10,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,31.443298969%
Bago Constituency 10,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,National Unity Party,5f3f9035c749de0ddc9de02e,2.824504278%
Bago Constituency 10,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,National League for Democracy,5f3f9035c749de0ddc9de05b,60.256271568%
Bago Constituency 10,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,4.475827825%
Bago Constituency 10,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,Kayin People's Party,5f3f9035c749de0ddc9de035,1.000097359%
Bago Constituency 11,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,27.402847144%
Bago Constituency 11,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,National Unity Party,5f3f9035c749de0ddc9de02e,2.339962087%
Bago Constituency 11,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,National League for Democracy,5f3f9035c749de0ddc9de05b,63.828788597%
Bago Constituency 11,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,6.428402173%
Bago Constituency 12,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,33.090535308%
Bago Constituency 12,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,National Unity Party,5f3f9035c749de0ddc9de02e,1.216205439%
Bago Constituency 12,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,National League for Democracy,5f3f9035c749de0ddc9de05b,58.582112697%
Bago Constituency 12,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,National Development Party,5f3f9035c749de0ddc9de08b,1.558249373%
Bago Constituency 12,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,3.546712036%
Bago Constituency 12,ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,Democratic Party (Myanmar),5f3f9035c749de0ddc9de032,2.006185147%
Chin Constituency 1,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၁,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,23.099023176%
Chin Constituency 1,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၁,National League for Democracy,5f3f9035c749de0ddc9de05b,53.141160697%
Chin Constituency 1,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၁,Chin National Party,5f3f9035c749de0ddc9de041,19.526910554%
Chin Constituency 1,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၁,Chin League for Democracy,5f3f9035c749de0ddc9de077,4.232905574%
Chin Constituency 2,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၂,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,12.999273784%
Chin Constituency 2,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၂,National League for Democracy,5f3f9035c749de0ddc9de05b,60.212418301%
Chin Constituency 2,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၂,Chin National Democratic Party,5f3f9035c749de0ddc9de041,26.788307916%
Chin Constituency 3,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၃,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,33.484747458%
Chin Constituency 3,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၃,National League for Democracy,5f3f9035c749de0ddc9de05b,41.111018503%
Chin Constituency 3,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၃,Chin National Party,5f3f9035c749de0ddc9de041,23.103850642%
Chin Constituency 3,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၃,,,2.300383397%
Chin Constituency 4,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၄,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,24.818633066%
Chin Constituency 4,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၄,National League for Democracy,5f3f9035c749de0ddc9de05b,55.262822960%
Chin Constituency 4,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၄,Chin Progressive Party,5f3f9035c749de0ddc9de046,12.366891519%
Chin Constituency 4,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၄,Chin National Party,5f3f9035c749de0ddc9de041,7.551652454%
Chin Constituency 5,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၅,Zomi Congress for Democracy,5f3f9035c749de0ddc9de067,34.957544814%
Chin Constituency 5,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၅,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,30.961762584%
Chin Constituency 5,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၅,National Unity Party,5f3f9035c749de0ddc9de02e,2.475165104%
Chin Constituency 5,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၅,National League for Democracy,5f3f9035c749de0ddc9de05b,16.471502303%
Chin Constituency 5,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၅,Chin National Party,5f3f9035c749de0ddc9de041,3.429713081%
Chin Constituency 5,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၅,Chin League for Democracy,5f3f9035c749de0ddc9de077,11.704312115%
Chin Constituency 6,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၆,Zomi Congress for Democracy,5f3f9035c749de0ddc9de067,26.393641682%
Chin Constituency 6,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၆,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,33.237664201%
Chin Constituency 6,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၆,National Unity Party,5f3f9035c749de0ddc9de02e,1.556463186%
Chin Constituency 6,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၆,National League for Democracy,5f3f9035c749de0ddc9de05b,27.585826250%
Chin Constituency 6,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၆,Chin Progressive Party,5f3f9035c749de0ddc9de046,1.561982559%
Chin Constituency 6,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၆,Chin National Party,5f3f9035c749de0ddc9de041,9.664422122%
Chin Constituency 7,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၇,Zomi Congress for Democracy,5f3f9035c749de0ddc9de067,36.327298378%
Chin Constituency 7,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၇,Zo National Region Development Party,5f3f9035c749de0ddc9de08a,7.461399796%
Chin Constituency 7,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၇,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,20.612900698%
Chin Constituency 7,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၇,National League for Democracy,5f3f9035c749de0ddc9de05b,28.865898581%
Chin Constituency 7,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၇,Chin National Democratic Party,5f3f9035c749de0ddc9de041,6.732502547%
Chin Constituency 8,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၈,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,31.189898009%
Chin Constituency 8,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၈,National Unity Party,5f3f9035c749de0ddc9de02e,1.646430306%
Chin Constituency 8,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၈,National League for Democracy,5f3f9035c749de0ddc9de05b,41.787275376%
Chin Constituency 8,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၈,Chin Progressive Party,5f3f9035c749de0ddc9de046,1.986401166%
Chin Constituency 8,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၈,Chin National Party,5f3f9035c749de0ddc9de041,19.776590578%
Chin Constituency 8,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၈,Chin League for Democracy,5f3f9035c749de0ddc9de077,3.613404565%
Chin Constituency 9,ချင်းပြည်နယ် မဲဆန္ဒနယ် ၉,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,27.938362373%
