Seat Name Mm (group),% of Total Valid Total Votes
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,0.973995788%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,1.034370120%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,1.264955576%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,0.696114476%
ရန်ကုန်တိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,1.313965622%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၁၂,0.752047689%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၁၁,0.396326405%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၁၀,0.407479013%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၉,0.130606292%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၈,0.045892960%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၇,0.037180893%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၆,0.544879803%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၅,0.367616845%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၄,0.392985188%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၃,0.461743692%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၂,0.240310264%
ရခိုင်ပြည်နယ် မဲဆန္ဒနယ် ၁,0.294840580%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၁၂,0.290457568%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၁၁,0.312912204%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၁၀,0.357867133%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၉,0.387987890%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၈,0.179491820%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၇,0.152081391%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၆,0.314153228%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၅,0.243356790%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၄,0.241821075%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၃,0.281733050%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၂,0.253932467%
မွန်ပြည်နယ် မဲဆန္ဒနယ် ၁,0.248441250%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,1.049291455%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,1.089431711%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,1.214455473%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,1.170094077%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,1.229351904%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,1.214804122%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,0.914713058%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,0.943198487%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,1.796221478%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,1.960057311%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,1.816567620%
မန္တလေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,1.376440147%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,0.682135324%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,0.963731404%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,0.559888300%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,0.959589126%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,0.881948382%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,0.994329478%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,0.857750502%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,0.873281971%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,0.607034735%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,0.853189015%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,0.805984472%
မကွေးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,0.710218146%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,0.936794142%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,0.910836417%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,0.767367478%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,1.061660182%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,1.282919285%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,0.721491121%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,0.579030773%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,0.975485846%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,0.870808226%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,0.915377151%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,0.656414181%
ပဲခူးတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,0.957393469%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,0.144016815%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,0.192798578%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,0.199742498%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,0.245245303%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,0.151114306%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,0.154131778%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,0.243165863%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,0.277383242%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,0.227563834%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,0.211036225%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,0.242987388%
တနင်္သာရီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,0.273124747%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၂,0.217664701%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၁,0.462382881%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁၀,0.357618099%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၉,0.215879952%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၈,1.104157968%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၇,0.940571170%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၆,0.844286021%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၅,1.357799894%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၄,1.853956042%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၃,1.525960631%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,1.803854394%
စစ်ကိုင်းတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,1.259580576%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၁၂,0.096476075%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၁၁,0.099638817%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၁၀,0.111982641%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၉,0.041211106%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၈,0.085460436%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၇,0.052957247%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၆,0.075200203%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၅,0.074789296%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၄,0.097833314%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၃,0.099597311%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၂,0.045722786%
ချင်းပြည်နယ် မဲဆန္ဒနယ် ၁,0.043340353%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၁၂,0.063532924%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၁၁,0.057053869%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၁၀,0.140804266%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၉,0.145735155%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၈,0.183115276%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၇,0.160772705%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၆,0.029236683%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၅,0.023313806%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၄,0.141347992%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၃,0.181496550%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၂,0.367521382%
ကရင်ပြည်နယ် မဲဆန္ဒနယ် ၁,0.319814619%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၁၂,0.013676160%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၁၁,0.011476353%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၁၀,0.015041701%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၉,0.013452029%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၈,0.015610330%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၇,0.013036971%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၆,0.023488131%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၅,0.029464965%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၄,0.078450107%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၃,0.072427616%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၂,0.126140268%
ကယားပြည်နယ် မဲဆန္ဒနယ် ၁,0.136466910%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၁၂,0.267882565%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၁၁,0.119453684%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၁၀,0.257580826%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၉,0.225733428%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၈,0.237147522%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၇,0.186975315%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၆,0.218606883%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၅,0.054961977%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၄,0.069870859%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၃,0.177574252%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၂,0.488651900%
ကချင်ပြည်နယ် မဲဆန္ဒနယ် ၁,0.181413538%
